,Name,Symbols,Total ESG Score,Environment Score,Social Score,Governance Score,Controversy Score,Controversy Assessment,Sector,Description
0,"Agilent Technologies, Inc.",A,15,0.3,8.6,6.3,1,Little Controversy,Healthcare,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California."
1,American Airlines Group Inc.,AAL,29,11.5,12.3,5.3,2,Moderate Controversy,Industrials,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas."
2,"Advance Auto Parts, Inc. ",AAP,12,0.1,8.3,3.1,2,Moderate Controversy,Consumer Cyclical,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers."
3,Apple Inc.,AAPL,17,0.6,6.9,9.2,3,Relatively High Controversy,Technology,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook."
4,AbbVie Inc.,ABBV,28,1.1,16.8,9.9,3,Relatively High Controversy,Healthcare,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.
5,AmerisourceBergen Corporation (ABC),ABC,12,1.3,5.6,5.2,3,Relatively High Controversy,Healthcare,
6,Abbott Laboratories,ABT,25,3.0,13.6,8.4,3,Relatively High Controversy,Healthcare,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013."
7,Arch Capital Group Ltd.,ACGL,21,1.5,7.3,12.0,2,Moderate Controversy,Financial Services,"Arch Capital Group Ltd., offers insurance, reinsurance and mortgage products worldwide. The company is headquartered in Pembroke, Bermuda."
8,Accenture plc,ACN,10,0.3,4.6,4.8,2,Moderate Controversy,Technology,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009."
9,Adobe Inc.,ADBE,12,1.9,5.9,4.6,1,Little Controversy,Technology,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing."
