Name,Symbols,Total ESG Score,Environment Score,Social Score,Governance Score,Controversy Score,Controversy Assessment,Sector
"Agilent Technologies, Inc.",A,15,0.3,8.6,6.3,1,Little Controversy,Healthcare
American Airlines Group Inc.,AAL,29,11.5,12.3,5.3,2,Moderate Controversy,Industrials
"Advance Auto Parts, Inc. ",AAP,12,0.1,8.3,3.1,2,Moderate Controversy,Consumer Cyclical
Apple Inc.,AAPL,17,0.6,6.9,9.2,3,Relatively High Controversy,Technology
AbbVie Inc.,ABBV,28,1.1,16.8,9.9,3,Relatively High Controversy,Healthcare
AmerisourceBergen Corporation (ABC),ABC,12,1.3,5.6,5.2,3,Relatively High Controversy,Healthcare
Abbott Laboratories,ABT,25,3.0,13.6,8.4,3,Relatively High Controversy,Healthcare
Arch Capital Group Ltd.,ACGL,21,1.5,7.3,12.0,2,Moderate Controversy,Financial Services
Accenture plc,ACN,10,0.3,4.6,4.8,2,Moderate Controversy,Technology
Adobe Inc.,ADBE,12,1.9,5.9,4.6,1,Little Controversy,Technology
"Analog Devices, Inc.",ADI,24,10.1,7.7,5.9,0,No Controversy,Technology
Archer-Daniels-Midland Company,ADM,36,18.2,13.2,5.0,3,Relatively High Controversy,Consumer Defensive
"Automatic Data Processing, Inc.",ADP,14,1.1,7.0,5.9,1,Little Controversy,Industrials
Autodesk Inc.,ADSK,16,3.4,8.2,4.4,0,No Controversy,Technology
Ameren Corporation,AEE,30,14.1,9.9,5.5,2,Moderate Controversy,Utilities
"American Electric Power Company, Inc.",AEP,26,12.8,7.5,5.4,2,Moderate Controversy,Utilities
The AES Corporation ,AES,34,16.5,11.2,6.5,2,Moderate Controversy,Utilities
Aflac Incorporated ,AFL,17,0.5,7.3,9.6,2,Moderate Controversy,Financial Services
"American International Group, Inc.",AIG,25,1.9,9.7,13.8,2,Moderate Controversy,Financial Services
"Assurant, Inc. ",AIZ,24,1.6,11.6,11.3,3,Relatively High Controversy,Financial Services
Arthur J. Gallagher & Co.,AJG,21,0.1,10.7,10.5,2,Moderate Controversy,Financial Services
"Akamai Technologies, Inc. ",AKAM,17,2.9,6.9,6.7,1,Little Controversy,Technology
Albemarle Corporation ,ALB,29,15.5,5.5,7.7,2,Moderate Controversy,Basic Materials
The Allstate Corporation,ALL,19,1.4,7.8,9.9,2,Moderate Controversy,Financial Services
Allegion plc,ALLE,24,12.8,4.5,6.4,0,No Controversy,Industrials
"Applied Materials, Inc. ",AMAT,12,3.8,2.6,5.1,1,Little Controversy,Technology
"AMETEK, Inc.",AME,24,8.6,8.5,6.9,1,Little Controversy,Industrials
Amgen Inc.,AMGN,22,0.7,13.5,7.9,3,Relatively High Controversy,Healthcare
"Ameriprise Financial, Inc. ",AMP,23,2.6,7.2,12.8,2,Moderate Controversy,Financial Services
American Tower Corporation,AMT,11,2.4,3.6,5.0,1,Little Controversy,Real Estate
"Amazon.com, Inc.",AMZN,30,5.6,14.8,9.9,3,Relatively High Controversy,Consumer Cyclical
"Arista Networks, Inc.",ANET,16,0.4,8.9,7.1,1,Little Controversy,Technology
"ANSYS, Inc.",ANSS,13,0.9,7.3,4.9,0,No Controversy,Technology
A. O. Smith Corporation ,AOS,25,7.3,11.9,6.3,0,No Controversy,Industrials
APA Corporation,APA,39,22.0,8.9,8.0,2,Moderate Controversy,Energy
"Air Products and Chemicals, Inc.",APD,11,5.9,1.3,3.6,1,Little Controversy,Basic Materials
Amphenol Corporation ,APH,21,8.0,5.5,7.8,2,Moderate Controversy,Technology
Aptiv PLC,APTV,12,2.5,3.8,5.3,1,Little Controversy,Consumer Cyclical
"Alexandria Real Estate Equities, Inc.",ARE,14,3.9,3.7,6.3,0,No Controversy,Real Estate
Atmos Energy Corporation ,ATO,35,14.8,13.4,6.5,2,Moderate Controversy,Utilities
"Activision Blizzard, Inc.",ATVI,19,0.2,12.5,6.3,4,Severe Controversy,Communication Services
"AvalonBay Communities, Inc.",AVB,11,3.0,3.0,4.6,1,Little Controversy,Real Estate
Broadcom Inc. ,AVGO,22,8.8,6.9,6.7,3,Relatively High Controversy,Technology
Avery Dennison Corporation,AVY,15,10.6,1.1,3.7,1,Little Controversy,Consumer Cyclical
"American Water Works Company, Inc.",AWK,22,9.0,7.6,5.3,1,Little Controversy,Utilities
American Express Company,AXP,18,0.1,8.4,9.9,2,Moderate Controversy,Financial Services
"AutoZone, Inc. ",AZO,11,0.1,7.1,3.8,2,Moderate Controversy,Consumer Cyclical
The Boeing Company,BA,35,7.1,19.7,7.9,4,Severe Controversy,Industrials
Bank of America Corporation ,BAC,27,1.6,14.4,11.2,3,Relatively High Controversy,Financial Services
Ball Corporation,BALL,11,5.9,1.1,3.8,2,Moderate Controversy,Consumer Cyclical
Baxter International Inc.,BAX,24,2.8,13.6,7.3,3,Relatively High Controversy,Healthcare
"Bath & Body Works, Inc.",BBWI,16,2.6,8.4,4.5,2,Moderate Controversy,Consumer Cyclical
"Best Buy Co., Inc.",BBY,14,2.2,7.2,4.8,2,Moderate Controversy,Consumer Cyclical
"Becton, Dickinson and Company",BDX,27,3.7,15.6,7.5,3,Relatively High Controversy,Healthcare
"Franklin Resources, Inc.",BEN,18,1.1,9.9,7.2,2,Moderate Controversy,Financial Services
Bunge Limited,BG,34,15.3,13.6,5.3,3,Relatively High Controversy,Consumer Defensive
Biogen Inc.,BIIB,21,0.0,13.2,7.8,3,Relatively High Controversy,Healthcare
"Bio-Rad Laboratories, Inc. ",BIO,17,1.4,8.3,7.2,1,Little Controversy,Healthcare
The Bank of New York Mellon Corporation,BK,21,1.1,9.2,11.2,3,Relatively High Controversy,Financial Services
Booking Holdings Inc.,BKNG,22,2.0,12.5,7.8,3,Relatively High Controversy,Consumer Cyclical
"BlackRock, Inc.",BLK,21,1.5,9.6,9.5,2,Moderate Controversy,Financial Services
Bristol-Myers Squibb Company,BMY,23,0.3,14.9,7.6,2,Moderate Controversy,Healthcare
"Broadridge Financial Solutions, Inc.",BR,16,0.8,9.0,6.4,2,Moderate Controversy,Technology
"Brown & Brown, Inc. ",BRO,21,0.2,10.6,10.7,1,Little Controversy,Financial Services
Boston Scientific Corporation,BSX,26,3.0,12.7,10.6,2,Moderate Controversy,Healthcare
BorgWarner Inc.,BWA,13,2.9,4.2,5.7,2,Moderate Controversy,Consumer Cyclical
"Boston Properties, Inc.",BXP,13,2.5,4.5,5.4,1,Little Controversy,Real Estate
Citigroup Inc.,C,27,1.8,13.1,11.8,4,Severe Controversy,Financial Services
"Conagra Brands, Inc.",CAG,32,11.0,15.9,4.9,2,Moderate Controversy,Consumer Defensive
"Cardinal Health, Inc.",CAH,12,1.5,5.9,4.9,3,Relatively High Controversy,Healthcare
Caterpillar Inc.,CAT,34,7.2,18.5,8.5,4,Severe Controversy,Unknown
Chubb Limited ,CB,24,1.7,11.6,10.6,2,Moderate Controversy,Financial Services
"Cboe Global Markets, Inc.",CBOE,21,2.7,7.6,10.6,1,Little Controversy,Financial Services
"CBRE Group, Inc. ",CBRE,7,1.3,2.4,3.2,1,Little Controversy,Real Estate
Crown Castle Inc. ,CCI,13,5.2,2.9,5.1,0,No Controversy,Real Estate
Carnival Corporation & plc ,CCL,24,10.0,9.9,3.8,3,Relatively High Controversy,Consumer Cyclical
"Cadence Design Systems, Inc.",CDNS,12,1.4,6.1,4.7,0,No Controversy,Technology
CDW Corporation ,CDW,9,2.4,3.3,3.5,0,No Controversy,Technology
Celanese Corporation,CE,29,15.1,7.7,6.5,2,Moderate Controversy,Basic Materials
"CF Industries Holdings, Inc.",CF,30,16.8,7.7,5.5,1,Little Controversy,Basic Materials
"Citizens Financial Group, Inc.",CFG,23,2.0,10.1,11.4,2,Moderate Controversy,Financial Services
"Church & Dwight Co., Inc. ",CHD,20,6.5,6.6,6.6,2,Moderate Controversy,Consumer Defensive
"C.H. Robinson Worldwide, Inc.",CHRW,20,5.2,9.3,5.6,1,Little Controversy,Industrials
